title|company|location|url|deadline|date_posted|match_score|score_notes|score_breakdown
Head of Investigations|Platform for Peace and Humanity||https://reliefweb.int/node/4203378|2026-03-31|2026-03-24|0|Dealbreaker: volunteer is a dealbreaker keyword. Remote location is target but unpaid role disqualifies.|"{""role"": 40, ""sector"": 50, ""location"": 90, ""seniority"": 100}"
Team Leader - Artisanal fisheries|Expertise France|Liberia|https://reliefweb.int/node/4204177|2026-04-30|2026-03-24|0|Dealbreaker: location (Liberia) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 25, ""location"": 0, ""seniority"": 100}"
Líder de Equipo de Protección - Guasdualito|Danish Refugee Council|Venezuela (Bolivarian Republic of)|https://reliefweb.int/node/4204221|2026-04-01|2026-03-24|0|Dealbreaker: location (Venezuela) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Field Coordination Officer - Kenya (National Position)|CESVI|Kenya|https://reliefweb.int/node/4204215|2026-04-03|2026-03-24|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 40, ""sector"": 40, ""location"": 0, ""seniority"": 60}"
ENTREPRENEURSHIP CONSULTANT FOR SHE-GROW AFRICA PROJECT IN WEST POKOT AND TURKANA|Agency for Technical Cooperation and Development|Kenya|https://reliefweb.int/node/4204213|2026-03-31|2026-03-24|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 40, ""location"": 0, ""seniority"": 60}"
Protection Officer - Kenya (National Position)|CESVI|Kenya|https://reliefweb.int/node/4204208|2026-04-03|2026-03-24|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
HR Manager - Chad|INTERSOS|Chad|https://reliefweb.int/node/4204194|2026-04-01|2026-03-24|0|Dealbreaker: location (Chad) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia). HR Manager function not in target roles.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
MEAL Coordinator - DRC|INTERSOS|Democratic Republic of the Congo|https://reliefweb.int/node/4204176|2026-03-31|2026-03-24|0|Dealbreaker: location (DRC) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
Anthropology Unit Lead|Médecins Sans Frontières|Kenya|https://reliefweb.int/node/4204172|2026-04-07|2026-03-24|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 40, ""sector"": 75, ""location"": 0, ""seniority"": 100}"
Head of Staff Health & Wellbeing Unit (SHU)|Médecins Sans Frontières|Kenya|https://reliefweb.int/node/4204170|2026-04-09|2026-03-24|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia). Head of function not in target roles.|"{""role"": 0, ""sector"": 75, ""location"": 0, ""seniority"": 100}"
Senior Agronomist – Agroforestry & Nature-Based Solutions|AVSI Foundation – ETS|Mozambique|https://reliefweb.int/node/4204168|2026-04-13|2026-03-24|0|Dealbreaker: location (Mozambique) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 100}"
Communication Event and Admin Intern|Sightsavers|Cameroon|https://reliefweb.int/node/4204094|2026-04-03|2026-03-24|0|Dealbreaker: internship in title is a dealbreaker keyword. Cameroon location not in target.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 0}"
National Project Officer (DRR/CCA)|International Organization for Migration|Burundi|https://reliefweb.int/node/4204156|2026-04-14|2026-03-24|0|Dealbreaker: location (Burundi) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 40, ""location"": 0, ""seniority"": 30}"
Director, Major Giving West (Southwest)|International Rescue Committee|United States of America|https://reliefweb.int/node/4204154|2026-04-24|2026-03-24|0|Dealbreaker: director in title is a dealbreaker keyword. Location (USA) not in target locations.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
Project Officer (Disaster Risk Reduction and Climate Change Adaptation (DRR CCA)) (P2) Kinshasa, Democratic Republic of Congo|International Organization for Migration|Democratic Republic of the Congo|https://reliefweb.int/node/4204148|2026-04-04|2026-03-24|0|Dealbreaker: location (DRC) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 40, ""location"": 0, ""seniority"": 60}"
National Consultant – Development of Localization Model (Manila, Philippines)|Asian Disaster Preparedness Center|Philippines|https://reliefweb.int/node/4204136|2026-03-31|2026-03-24|0|Dealbreaker: location (Philippines) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Intensive Case Management Caseworker|International Rescue Committee|United States of America|https://reliefweb.int/node/4204109|2026-04-23|2026-03-23|0|Dealbreaker: location (USA) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 30}"
Chief Executive Officer - WV Mongolia|World Vision|Mongolia|https://reliefweb.int/node/4204096|2026-04-24|2026-03-23|0|Dealbreaker: CEO in title is a dealbreaker. Location (Mongolia) not in target locations.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
Coordinateur de Protection - RDC|INTERSOS|Democratic Republic of the Congo|https://reliefweb.int/node/4204082|2026-04-08|2026-03-23|0|Dealbreaker: location (DRC) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Field Programs Director - LAC|Global Emergency Group|United States of America|https://reliefweb.int/node/4204053|2026-04-10|2026-03-23|0|Dealbreaker: director in title is a dealbreaker keyword. Location (USA) not in target locations.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 100}"
Desk Officer - 8-month Contract|Concern Worldwide|Ireland|https://reliefweb.int/node/4204041|2026-04-09|2026-03-23|50|Desk Officer role tangentially related to target programme roles. Concern is solid international development org. Ireland (EU) location is target. Score 50.|"{""role"": 30, ""sector"": 50, ""location"": 100, ""seniority"": 80}"
Policy, Communications and Advocacy Manager-Syria|Norwegian Refugee Council|Syrian Arab Republic|https://reliefweb.int/node/4204050|2026-04-06|2026-03-23|0|Dealbreaker: location (Syria) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
Economic Empowerment Officer|Kakenya’s Dream|Kenya|https://reliefweb.int/node/4203954|2026-03-31|2026-03-23|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 75, ""location"": 0, ""seniority"": 60}"
Innovation & Knowledge Management Officer|Pacific Community|New Caledonia (France)|https://reliefweb.int/node/4203935|2026-04-19|2026-03-23|0|Dealbreaker: location (New Caledonia) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Thai Finance and Operations Manager|ILGA ASIA|Thailand|https://reliefweb.int/node/4203934|2026-04-06|2026-03-23|0|Dealbreaker: finance in title is a dealbreaker keyword. Location (Thailand) not in target locations.|"{""role"": 0, ""sector"": 75, ""location"": 0, ""seniority"": 100}"
Finance & Administration Manager, Malawi|Nutrition International|Malawi|https://reliefweb.int/node/4203901|2026-03-25|2026-03-23|0|Dealbreaker: finance in title is a dealbreaker keyword. Location (Malawi) not in target locations.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
Strategic Information Specialist|US Department of State|Colombia|https://reliefweb.int/node/4203862|2026-04-19|2026-03-23|0|Dealbreaker: location (Colombia) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 40, ""location"": 0, ""seniority"": 60}"
Business Development Coordinator - Madagascar|CBM Global Disability Inclusion|Madagascar|https://reliefweb.int/node/4204040|2026-04-11|2026-03-23|0|Dealbreaker: location (Madagascar) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Business Development Coordinator - Kenya|CBM Global Disability Inclusion|Kenya|https://reliefweb.int/node/4204039|2026-04-05|2026-03-23|0|Dealbreaker: location (Kenya) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Advocacy and Communication Adviser ProLAC Latin America|Norwegian Refugee Council|Colombia|https://reliefweb.int/node/4203851|2026-04-03|2026-03-23|0|Dealbreaker: location (Colombia) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Business Development Coordinator - Nigeria|CBM Global Disability Inclusion|Nigeria|https://reliefweb.int/node/4204036|2026-04-05|2026-03-23|0|Dealbreaker: location (Nigeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Manager, Grants Administration and Reporting - (4548)|International Medical Corps|Chad|https://reliefweb.int/node/4204024|2026-04-30|2026-03-23|0|Dealbreaker: location (Chad) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Coordinator, Consortium - (4547)|International Medical Corps|Chad|https://reliefweb.int/node/4204022|2026-04-30|2026-03-23|0|Dealbreaker: location (Chad) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Human Resources Coordinator - DRC|INTERSOS|Democratic Republic of the Congo|https://reliefweb.int/node/4204013|2026-04-01|2026-03-23|0|Dealbreaker: location (Democratic Republic of the Congo) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Human Resource Assistant|Peace Winds Japan|Kenya|https://reliefweb.int/node/4203868|2026-03-30|2026-03-23|0|Dealbreaker: location (Kenya) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 30}"
Finance Assistant|Peace Winds Japan|Kenya|https://reliefweb.int/node/4203866|2026-03-30|2026-03-23|0|Dealbreaker: 'finance' keyword in title and location (Kenya) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 30}"
CGPP Niger - Deputy Director and Technical Lead|CORE Group|Niger|https://reliefweb.int/node/4203818|2026-03-30|2026-03-23|0|Dealbreaker: 'director' in title (Correction Log Error Type 2) and location (Niger) not in target locations.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Roving Pharmacy Officer - Roving|INTERSOS|Nigeria|https://reliefweb.int/node/4203999|2026-03-30|2026-03-23|0|Dealbreaker: location (Nigeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Field Pharmacist - Monguno and Magumeri|INTERSOS|Nigeria|https://reliefweb.int/node/4203996|2026-03-30|2026-03-23|0|Dealbreaker: location (Nigeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Senior Officer - Pacific Way|Pacific Community|Fiji|https://reliefweb.int/node/4203782|2026-04-19|2026-03-23|0|Dealbreaker: location (Fiji) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 70}"
Head of Finance (UK)|UK-Med|United Kingdom of Great Britain and Northern Ireland|https://reliefweb.int/node/4203743|2026-04-02|2026-03-23|0|Dealbreaker: 'finance' in title (Correction Log Error Type 3) — Head of Finance is a finance role, not programme.|"{""role"": 0, ""sector"": 50, ""location"": 100, ""seniority"": 70}"
Pharmacy Officer - Maiduguri|INTERSOS|Nigeria|https://reliefweb.int/node/4203991|2026-03-30|2026-03-23|0|Dealbreaker: location (Nigeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Programme Coordinator WASH & EFSL|Oxfam Solidarité|Algeria|https://reliefweb.int/node/4203732|2026-03-31|2026-03-23|0|Dealbreaker: location (Algeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 60, ""sector"": 25, ""location"": 0, ""seniority"": 70}"
Area Operations Manager Artibonite Haiti|Norwegian Refugee Council|Haiti|https://reliefweb.int/node/4203728|2026-04-03|2026-03-23|0|Dealbreaker: location (Haiti) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Government Relations Advisor, Africa|Vital Strategies|Ethiopia, Ghana, Rwanda, United Republic of Tanzania|https://reliefweb.int/node/4203722|2027-04-30|2026-03-23|0|Dealbreaker: location (Ethiopia, Ghana, Rwanda, Tanzania) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Research and Impact Evaluation Lead|Clear Solutions||https://reliefweb.int/node/4203708|2026-04-05|2026-03-23|38|Low match: Research/evaluation lead role fits programme function. Sector (diarrhoea/child health) adjacent to global health but not HIV/TB/harm reduction. Virtual team spans Europe+Nigeria; location uncertain.|"{""role"": 40, ""sector"": 25, ""location"": 50, ""seniority"": 70}"
Consortium Manager|Danish Refugee Council|Ethiopia|https://reliefweb.int/node/4203706|2026-04-02|2026-03-23|0|Dealbreaker: location (Ethiopia) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 60, ""sector"": 50, ""location"": 0, ""seniority"": 70}"
Pharmacy Assistant- Maiduguri, Magumeri, Dikwa, Monguno|INTERSOS|Nigeria|https://reliefweb.int/node/4203983|2026-03-30|2026-03-23|0|Dealbreaker: location (Nigeria) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Subnational Adviser|DT Global|Papua New Guinea|https://reliefweb.int/node/4203962|2026-04-07|2026-03-23|0|Dealbreaker: location (Papua New Guinea) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Provincial Facilitator SH|DT Global|Papua New Guinea|https://reliefweb.int/node/4203953|2026-04-07|2026-03-23|0|Dealbreaker: location (Papua New Guinea) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).|"{""role"": 40, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Human Resources (HR) Coordinator|DT Global|Papua New Guinea|https://reliefweb.int/node/4203949|2026-04-10|2026-03-23|0|Dealbreaker: location (Papua New Guinea) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK). HR function not in target roles.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Human Resources (HR) Officer|DT Global|Papua New Guinea|https://reliefweb.int/node/4203941|2026-04-10|2026-03-23|0|Dealbreaker: location (Papua New Guinea) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK). HR function not in target roles.|"{""role"": 0, ""sector"": 50, ""location"": 0, ""seniority"": 60}"
Enumerators - Mauritius|SoCha LLC|Mauritius|https://reliefweb.int/node/4203938|2026-03-31|2026-03-23|0|Dealbreaker: location (Mauritius) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK). Enumerator field role not in target roles.|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Enumerators - Seychelles|SoCha LLC|Seychelles|https://reliefweb.int/node/4203937|2026-03-31|2026-03-23|0|Dealbreaker: location (Seychelles) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK). Enumerator field role not in target roles.|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Construction Site Supervisor (Type A)|International Organization for Migration|Vanuatu|https://reliefweb.int/node/4203933|2026-04-06|2026-03-23|0|Dealbreaker: location (Vanuatu) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK). Construction site supervisor not in target roles.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Program Director II|Volunteers of America-Greater New York|New York, NY|https://www.linkedin.com/jobs/view/4386660752||2026-03-23|0|Dealbreaker: location (New York) not in target locations. Director dealbreaker also applies to title.|"{""role"": 0, ""sector"": 40, ""location"": 0, ""seniority"": 60}"
Prevention Recovery and Rehabilitation Manager|St Vincent's Health Australia||https://www.linkedin.com/jobs/view/4330820442||2026-03-23|34|Mental health rehabilitation manager role tangentially related to health sector; null location treated as unknown.|"{""role"": 30, ""sector"": 25, ""location"": 50, ""seniority"": 60}"
Urgent Care Advanced Practice Provider|CommonSpirit Health|Federal Way, WA|https://www.linkedin.com/jobs/view/4388657866||2026-03-23|0|Dealbreaker: location (Washington, USA) not in target locations (Remote, Switzerland, EU, UK).|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Advanced Practice Provider Primary Care Seattle|CommonSpirit Health|Seattle, WA|https://www.linkedin.com/jobs/view/4388677086||2026-03-23|0|Dealbreaker: location (Seattle, USA) not in target locations (Remote, Switzerland, EU, UK).|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Behavioral Neurologist|CommonSpirit Health|Tacoma, WA|https://www.linkedin.com/jobs/view/4388655970||2026-03-23|0|Dealbreaker: location (Tacoma, USA) not in target locations (Remote, Switzerland, EU, UK). Medical doctor role.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Senior Program Manager|AIDS Healthcare Foundation|Tacoma, WA|https://www.linkedin.com/jobs/view/4388998110|||0|Dealbreaker: location (Tacoma, WA) not in target locations. AIDS Healthcare Foundation Senior Program Manager matches role and sector well but wrong geography.|
Director of Customer Access|BART|Oakland, CA|https://www.linkedin.com/jobs/view/4382726382|||0|Dealbreaker: 'Director' in title at BART Oakland. Director-level roles are in dealbreakers.|
Director of Patient Safety|General Dynamics Information Technology|, Remote|https://www.linkedin.com/jobs/view/4389422894|||0|Dealbreaker: 'Director of Patient Safety' at GDIT. Director-level roles are in dealbreakers.|
Regional Director, Community Liaison - Mid-Atlantic Region|Gilead Sciences|Washington, DC|https://www.linkedin.com/jobs/view/4379100115|||0|Dealbreaker: 'Regional Director' at Gilead in Washington DC. Director title and non-target location.|
Regional Director, Community Liaison - Mid-Atlantic Region|Gilead Sciences|Baltimore, MD|https://www.linkedin.com/jobs/view/4378895596|||0|Dealbreaker: 'Regional Director' title at Gilead in Baltimore MD. Director-level roles are in dealbreakers.|
Clinic Manager Job – Dallas, TX|Prism Health North Texas|Dallas, TX|https://www.linkedin.com/jobs/view/4389262448|||0|Dealbreaker: location (Dallas, TX) not in target locations. Clinic manager at HIV-focused health center but wrong geography.|
Case Management Supervisor- Adult Division (Ages 26 years and Older)|Regional Center of the East Bay|San Leandro, CA|https://www.linkedin.com/jobs/view/4389315723|||0|Dealbreaker: location (San Leandro, CA) not in target locations. Case management supervisor at developmental disabilities center.|
Regional Director, Community Liaison - Mid-Atlantic Region|Gilead Sciences|Philadelphia, PA|https://www.linkedin.com/jobs/view/4378895595|||0|Dealbreaker: 'Regional Director' title at Gilead in Philadelphia PA. Director-level roles are in dealbreakers.|
Director of Southern Bureau North Housing and Care Management|AIDS Healthcare Foundation|Houston, TX|https://www.linkedin.com/jobs/view/4388981717|||0|Dealbreaker: 'Director' title at AHF in Houston TX. Director-level roles are in dealbreakers.|
Case Management Supervisor- Children Division (Bilingual/Trilingual Preferred) [Ages 3-22 years old]|Regional Center of the East Bay|Concord, CA|https://www.linkedin.com/jobs/view/4389330020|||0|Dealbreaker: location (Concord, CA) not in target locations. Case management supervisor for developmental disabilities, not related to HIV/AIDS or global health.|
Vice President, Enterprise AI Strategy and Transformation (Remote)|CrowdStrike|, Remote|https://www.linkedin.com/jobs/view/4388096067|||0|Dealbreaker: 'Vice President' at CrowdStrike. VP-level is director-tier. Also cybersecurity sector not related to global health or international development.|
Operations Manager/Shift Supervisor|Volunteers of America-Greater New York|New York, NY|https://www.linkedin.com/jobs/view/4387543658|||0|Dealbreaker: location (New York, NY) not in target locations. Operations manager at homeless shelter serving HIV/AIDS clients, but shelter operations not a programme role.|
Fleet Manager - Bureau of Fleet Management & Operations - SFPUC - (0922) - (162535)|City and County of San Francisco|San Francisco, CA|https://www.linkedin.com/jobs/view/4389273324|||0|Dealbreaker: location (San Francisco, CA) not in target locations. Fleet manager at SFPUC. Logistics/fleet management not in target roles.|
Assistant Vice President, Advancement Services|Inside Higher Ed|Columbia, SC|https://www.linkedin.com/jobs/view/4389717299|||0|Dealbreaker: 'Assistant Vice President' at USC Columbia. AVP is director-level. University advancement services not in target sectors.|
Fleet Manager - Bureau of Fleet Management & Operations - SFPUC - (0922) - (162535)|San Francisco Public Utilities Commission|San Francisco, CA|https://www.linkedin.com/jobs/view/4388989056|||0|Dealbreaker: location (San Francisco, CA) not in target locations. Fleet manager at SFPUC. Logistics/fleet management not in target roles.|
VP, Underwriting, Workers' Compensation|Argo Group|Chicago, IL|https://www.linkedin.com/jobs/view/4380313922|||0|Dealbreaker: 'VP' title at Argo Group. VP is director-tier. Insurance underwriting sector and finance/financial function not in target roles.|
Deputy Program Manager|General Dynamics Information Technology|, Remote|https://www.linkedin.com/jobs/view/4389422895|||48|Deputy Program Manager at GDIT supporting HRSA/Ryan White HIV/AIDS Program. Sector relevant (HIV/AIDS), remote location qualifies. Deputy programme manager role partially aligns but day-to-day is IT programme delivery.|"{""role"": 50, ""sector"": 55, ""location"": 90, ""seniority"": 70}"
Pediatrician University Village PRN|CommonSpirit Health|Seattle, WA|https://www.linkedin.com/jobs/view/4389396715|||0|Dealbreaker: 'Pediatrician' at CommonSpirit Health in Seattle. Physician/medical doctor is in dealbreakers.|
